INSERT INTO bank VALUES ('HYD', 'SBI', 'Hyderabad', 'State Bank of India')
INSERT INTO bank VALUES ('HYD', 'BOB', 'Hyderabad', 'Bank of Boroda')
INSERT INTO bank VALUES ('HYD', 'AXB', 'Hyderabad', 'Axis Bank')
INSERT INTO bank VALUES ('HYD', 'CAB', 'Hyderabad', 'Canara Bank')
INSERT INTO bank VALUES ('DWD', 'SBI', 'Dharwad', 'State Bank of India')
INSERT INTO bank VALUES ('DWD', 'BOB', 'Dharwad', 'Bank of Boroda')
INSERT INTO bank VALUES ('DWD', 'AXB', 'Dharwad', 'Axis Bank')
INSERT INTO bank VALUES ('DWD', 'CAB', 'Dharwad', 'Canara Bank')
INSERT INTO bank VALUES ('BMB', 'SBI', 'Bombay', 'State Bank of India')
INSERT INTO bank VALUES ('BMB', 'BOB', 'Bombay', 'Bank of Boroda')
INSERT INTO bank VALUES ('BMB', 'AXB', 'Bombay', 'Axis Bank')
INSERT INTO bank VALUES ('BMB', 'CAB', 'Bombay', 'Canara Bank')
INSERT INTO bank VALUES ('RJY', 'SBI', 'Rajahmundry', 'State Bank of India')
INSERT INTO bank VALUES ('RJY', 'BOB', 'Rajahmundry', 'Bank of Boroda')
INSERT INTO bank VALUES ('RJY', 'AXB', 'Rajahmundry', 'Axis Bank')
INSERT INTO bank VALUES ('RJY', 'CAB', 'Rajahmundry', 'Canara Bank')

UPDATE customer SET balance = 1000 WHERE cust_id = '00001';
